股票名称,代码,最新价,涨幅
南亚新材,688519,337.50,+13.56%
江西铜业,600362,47.36,+10.01%
巨化股份,600160,46.63,+10.00%
生益科技,600183,166.41,+10.00%
中钨高新,000657,86.90,+10.00%
中远海能,600026,19.25,+10.00%
中恒电气,002364,51.16,+10.00%
麦格米特,002851,148.76,+10.00%
三安光电,600703,15.31,+9.99%
天孚通信,300394,304.60,+8.42%
联得装备,300545,35.48,+7.91%
铜陵有色,000630,7.66,+7.89%
中际旭创,300308,1239.11,+7.84%
宜安科技,300328,19.45,+7.70%
江丰电子,300666,293.29,+7.01%
华工科技,000988,160.92,+6.56%
通信ETF国泰,515880,1.685,+6.38%
宏工科技,301662,94.85,+5.40%
科创创业50ETF南方,159780,1.282,+5.34%
中船特气,688146,317.97,+5.29%
阿石创,300706,75.57,+5.18%
中天火箭,003009,63.75,+5.16%
百通能源,001376,12.71,+5.13%
雅克科技,002409,138.78,+4.35%
汉钟精机,002158,28.66,+4.33%
豫能控股,001896,22.71,+4.17%
中证500ETF南方,510500,8.537,+3.58%
北部湾港,000582,11.63,+3.56%
隆华科技,300263,15.98,+3.50%
蓝黛科技,002765,8.01,+3.09%
黄金ETF华安,518880,8.925,+3.07%
